Track_ID | 등번호 | 유니폼 | 첫등장프레임
7279 | 22 | HOME | frame_1571
7348 | 8 | HOME | frame_1583
7353 | 1 | AWAY | frame_1584
7377 | 9 | HOME | frame_1587
7406 | 1 | AWAY | frame_1591
7431 | 73 | AWAY | frame_1595
7432 | 29 | AWAY | frame_1595
7452 | 7 | AWAY | frame_1598
7486 | 78 | AWAY | frame_1602
7488 | 16 | AWAY | frame_1602
7494 | 14 | HOME | frame_1603
7504 | 2 | AWAY | frame_1605
7541 | 16 | HOME | frame_1611
7542 | 98 | HOME | frame_1611
7544 | 9 | HOME | frame_1611
7557 | 19 | AWAY | frame_1612
7559 | 18 | HOME | frame_1613
7568 | 37 | HOME | frame_1615
7571 | 9 | HOME | frame_1615
7602 | 24 | AWAY | frame_1619
7603 | 9 | HOME | frame_1619
7647 | 9 | AWAY | frame_1625
7663 | 8 | HOME | frame_1628
7666 | 10 | HOME | frame_1628
7687 | 2 | AWAY | frame_1631
7696 | 4 | AWAY | frame_1632
7697 | 7 | HOME | frame_1632
7701 | 42 | AWAY | frame_1633
7785 | 24 | AWAY | frame_1642
7871 | 16 | AWAY | frame_1653
7890 | 08 | AWAY | frame_1657
7928 | 3 | AWAY | frame_1661
7955 | 3 | AWAY | frame_1664
7968 | 24 | AWAY | frame_1666
7969 | 2 | AWAY | frame_1666
7977 | 3 | AWAY | frame_1667
8017 | 35 | AWAY | frame_1675
8018 | 9 | AWAY | frame_1675
8025 | 19 | AWAY | frame_1676
8029 | 2 | AWAY | frame_1677
8061 | 8 | HOME | frame_1681
8075 | 7 | HOME | frame_1682
8109 | 6 | AWAY | frame_1688
8127 | 15 | HOME | frame_1691
8222 | 14 | HOME | frame_1706
8239 | 25 | AWAY | frame_1709
8264 | 10 | AWAY | frame_1712
8281 | 3 | HOME | frame_1714
8318 | 5 | HOME | frame_1718
8325 | 3 | AWAY | frame_1719
8348 | 2 | AWAY | frame_1723
8372 | 81 | AWAY | frame_1728
8414 | 3 | AWAY | frame_1736
8428 | 37 | AWAY | frame_1738
8457 | 82 | AWAY | frame_1743
8459 | 16 | AWAY | frame_1744
8460 | 3 | HOME | frame_1744
8472 | 8 | AWAY | frame_1747
8476 | 1 | HOME | frame_1748
8480 | 22 | AWAY | frame_1749
8493 | 3 | HOME | frame_1751
8502 | 4 | AWAY | frame_1753
8503 | 1 | AWAY | frame_1753
8504 | 3 | AWAY | frame_1753
8506 | 6 | HOME | frame_1755
8510 | 29 | HOME | frame_1759
8518 | 7 | AWAY | frame_1761
8519 | 20 | HOME | frame_1761
8520 | 3 | AWAY | frame_1761
8521 | 13 | AWAY | frame_1761
8544 | 17 | HOME | frame_1769
8561 | 8 | HOME | frame_1771
8587 | 3 | AWAY | frame_1775
8595 | 6 | AWAY | frame_1776
8599 | 37 | AWAY | frame_1777
8601 | 27 | AWAY | frame_1778
8602 | 67 | AWAY | frame_1778
8607 | 3 | AWAY | frame_1779
8619 | 9 | HOME | frame_1781
8628 | 25 | AWAY | frame_1783
8639 | 9 | HOME | frame_1785
8645 | 1 | AWAY | frame_1786
8646 | 5 | AWAY | frame_1786
8652 | 7 | HOME | frame_1788
8658 | 7 | HOME | frame_1788
